"lat","long","change"
-0.5321643,31.0163764,-0.680979853
-0.539444,31.022222,-0.680979853
3.15,33.733333,-0.679511489
1.506389,33.221111,-0.67800075
1.483333,33.166667,-0.67800075
2.683333,33.766667,-0.676638725
-0.6713048,31.4797703,-0.675297454
-0.6878838,31.500695,-0.675297454
-0.683333,31.5,-0.675297454
-0.69,31.484167,-0.675297454
-0.695177,31.5237219,-0.675297454
1.416667,33.45,-0.67402918
1.45,33.466667,-0.67402918
1.216667,32.033333,-0.67248275
0.348056,30.419167,-0.6715348
0.35,30.416667,-0.6715348
1.85,33.166667,-0.670063126
1.866667,33.2,-0.670063126
1.866667,33.183333,-0.670063126
1.833333,33.166667,-0.670063126
1.85,33.216667,-0.670063126
3.545729,31.746579,-0.66917169
2.183333,33.733333,-0.665604568
2.183333,33.766667,-0.665604568
2.216667,33.75,-0.665604568
-0.3430934,31.6382664,-0.658819262
-0.308056,31.614167,-0.658819262
-0.333333,31.633333,-0.658819262
2.983333,33.35,-0.658456159
2.5848791,33.6508618,-0.656490459
-0.933333,30.783333,-0.656329815
-0.915,30.749167,-0.656329815
1.683333,33.283333,-0.655751713
1.65,33.266667,-0.655751713
1.683333,33.266667,-0.655751713
3.6858423,33.9503885,-0.651866781
3.6635525,33.9342568,-0.651866781
1.166667,32.2,-0.651261039
1.966667,33.65,-0.651049867
1.983333,33.6,-0.651049867
1.966667,33.6,-0.651049867
1.520355,31.948976,-0.646139329
1.513894,31.897769,-0.646139329
1.833333,33.066667,-0.645953493
1.848333,33.078611,-0.645953493
1.9009783,33.4593231,-0.645596424
1.883333,33.45,-0.645596424
1.880278,33.468056,-0.645596424
1.316667,32.95,-0.643555382
1.3,32.933333,-0.643555382
3.703056,32.916111,-0.642917065
2.326612,31.328894,-0.63556916
1.3,31.616667,-0.631520214
1.316667,31.6,-0.631520214
1.95,33.266667,-0.630975148
2.216667,33.8,-0.630178752
-0.5,31.566667,-0.62374509
-0.533333,31.583333,-0.62374509
-0.516667,31.583333,-0.62374509
-0.366667,32.516667,-0.623497582
-0.416667,32.516667,-0.623497582
1.95,33.116667,-0.6226185
-0.75,31.35,-0.619467903
-0.7425,31.406389,-0.619467903
-0.766667,31.35,-0.619467903
-0.783333,31.4,-0.619467903
-0.733333,31.366667,-0.619467903
2.327724,31.361928,-0.619341285
2.359838,31.361123,-0.619341285
2.313902,31.354761,-0.619341285
1.966667,32.783333,-0.619047227
1.85,33.333333,-0.616394199
2.266667,33.7,-0.614631071
2.1668684,31.3991846,-0.613781557
2.144783,31.405745,-0.613781557
